imageId;sourceFilename;sourcePath;status;reason
NEW-IMG002;ChatGPT Image 30 de jun. de 2026, 20_45_50.png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 30 de jun. de 2026, 20_45_50.png;PENDENTE_REVISAO;"Arte extra do mesmo Jogo Duelo do Prazer; o SKU único já recebeu a imagem principal NEW-IMG004."
NEW-IMG003;ChatGPT Image 30 de jun. de 2026, 20_46_07.png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 30 de jun. de 2026, 20_46_07.png;PENDENTE_REVISAO;Mostra Duelo de Casal, mas não existe SKU local com esse nome exato.
NEW-IMG005;ChatGPT Image 1 de jul. de 2026, 13_31_11 (1).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_11 (1).png;PENDENTE_REVISAO;Variação de plug com cristal furta-cor sem SKU individual de cor/formato.
NEW-IMG006;ChatGPT Image 1 de jul. de 2026, 13_31_13 (3).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_13 (3).png;PENDENTE_REVISAO;Variação de plug com cristal furta-cor sem SKU individual de cor/formato.
NEW-IMG007;ChatGPT Image 1 de jul. de 2026, 13_31_12 (2).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_12 (2).png;PENDENTE_REVISAO;Variação de plug com cristal azul sem SKU individual de cor/formato.
NEW-IMG008;ChatGPT Image 1 de jul. de 2026, 13_31_44 (2).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_44 (2).png;PENDENTE_REVISAO;Variação de plug com cristal violeta sem SKU individual de cor/formato.
NEW-IMG010;ChatGPT Image 1 de jul. de 2026, 13_31_47 (4).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_47 (4).png;PENDENTE_REVISAO;Variação de plug com cristal lilás sem SKU individual de cor/formato.
NEW-IMG011;ChatGPT Image 1 de jul. de 2026, 13_31_47 (3).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_47 (3).png;PENDENTE_REVISAO;Variação de plug com cristal rosa sem SKU individual de cor/formato.
NEW-IMG012;ChatGPT Image 1 de jul. de 2026, 13_31_48 (5).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_31_48 (5).png;PENDENTE_REVISAO;Variação de plug com cristal coração rosa sem SKU individual de cor/formato.
NEW-IMG013;ChatGPT Image 1 de jul. de 2026, 13_32_08 (1).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_32_08 (1).png;PENDENTE_REVISAO;Variação de plug com cristal coração roxo sem SKU individual de cor/formato.
NEW-IMG014;ChatGPT Image 1 de jul. de 2026, 13_32_08 (2).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_32_08 (2).png;PENDENTE_REVISAO;Variação de plug com cristal coração roxo sem SKU individual de cor/formato.
NEW-IMG015;ChatGPT Image 1 de jul. de 2026, 13_32_08 (3).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_32_08 (3).png;PENDENTE_REVISAO;Variação de plug com cristal coração azul sem SKU individual de cor/formato.
NEW-IMG016;ChatGPT Image 1 de jul. de 2026, 13_32_09 (4).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_32_09 (4).png;PENDENTE_REVISAO;Variação de plug com cristal vermelho sem SKU individual de cor/formato.
NEW-IMG017;ChatGPT Image 1 de jul. de 2026, 13_32_09 (5).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_32_09 (5).png;PENDENTE_REVISAO;Variação de plug com cristal coração azul sem SKU individual de cor/formato.
NEW-IMG019;ChatGPT Image 1 de jul. de 2026, 13_36_56 (2).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_36_56 (2).png;PENDENTE_REVISAO;Variação de plug com cristal coração rosa sem SKU individual de cor/formato.
NEW-IMG020;ChatGPT Image 1 de jul. de 2026, 13_36_57 (3).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_36_57 (3).png;PENDENTE_REVISAO;Variação de plug com cristal rosa sem SKU individual de cor/formato.
NEW-IMG021;ChatGPT Image 1 de jul. de 2026, 13_36_58 (4).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_36_58 (4).png;PENDENTE_REVISAO;Variação de plug com cristal rosé lilás sem SKU individual de cor/formato.
NEW-IMG022;ChatGPT Image 1 de jul. de 2026, 13_36_58 (5).png;C:\Users\bruno\Downloads\produtos atualizados\ChatGPT Image 1 de jul. de 2026, 13_36_58 (5).png;PENDENTE_REVISAO;Variação de plug com cristal lilás sem SKU individual de cor/formato.
